hip_angle_l,hip_flexion_l_moment
-34.43704416,-0.562553348
-34.42491117,-0.588047625
-34.41277876,-0.614338352
-34.40064577,-0.64082599
-34.39816999,-0.666649341
-34.40423113,-0.691215928
-34.41029199,-0.714147943
-34.41635314,-0.734915877
-34.40560572,-0.75289081
-34.39348347,-0.767891643
-34.38136181,-0.779699243
-34.34221239,-0.788404381
-34.24514876,-0.794248066
-34.14808976,-0.79691365
-34.05102613,-0.796627083
-33.8714491,-0.792618773
-33.65900657,-0.785923638
-33.44657418,-0.777403177
-33.19189595,-0.766608454
-32.60964106,-0.747896902
-32.0273584,-0.728704589
-31.44510351,-0.709429441
-30.79462565,-0.69255907
-30.07881439,-0.678279871
-29.362969,-0.664732263
-28.64715774,-0.652034613
-28.37722203,-0.645719403
-28.15269857,-0.640807689
-27.9281644,-0.636625434
-27.73702586,-0.634067778
-27.62166811,-0.634267894
-27.50631586,-0.634522267
-27.39095811,-0.63453788
-26.97603807,-0.630386956
-26.43621335,-0.623880851
-25.89641437,-0.616244376
-25.34795482,-0.607204947
-24.7236273,-0.596431244
-24.09932954,-0.583872671
-23.47500201,-0.569404694
-22.88945884,-0.553972613
-22.34323638,-0.537577807
-21.79703996,-0.519230519
-21.25081749,-0.499023263
-20.71582355,-0.478299356
-20.18212112,-0.456177302
-19.64844414,-0.432730043
-19.07924491,-0.40839499
-18.42351454,-0.383713612
-17.76775291,-0.358476604
-17.11202254,-0.332956098
-16.4729984,-0.305638668
-15.84148842,-0.277768158
-15.20994834,-0.250385451
-14.57453657,-0.223852846
-13.87452081,-0.200499314
-13.17453843,-0.178245552
-12.47452267,-0.157250098
-11.84666158,-0.137262454
-11.3124568,-0.118279475
-10.77827749,-0.100890981
-10.2440727,-0.085165651
-9.720166178,-0.071385448
-9.198328418,-0.059391998
-8.676465774,-0.049149037
-8.174355645,-0.040451897
-7.737377672,-0.032822087
-7.300420535,-0.026856732
-6.863442562,-0.022486013
-6.480330711,-0.021420358
-6.128688136,-0.022794467
-5.777062329,-0.025411306
-5.426012539,-0.029057291
-5.097322679,-0.031890455
-4.768617145,-0.035376952
-4.439927285,-0.039265732
-4.098328402,-0.042897712
-3.734659702,-0.045700841
-3.370973661,-0.048013861
-3.007304962,-0.049504903
-2.666831357,-0.050517094
-2.333600224,-0.050238223
-2.000353202,-0.048120274
-1.674368187,-0.043679933
-1.387822331,-0.035898907
-1.101290138,-0.025394134
-0.814744281,-0.011941077
-0.572527505,0.004445013
-0.375762126,0.023876695
-0.178987365,0.046601432
0.017778013,0.072601273
0.209476426,0.102399409
0.400112718,0.135336185
0.5907581,0.171033523
0.767445038,0.209023931
0.870580438,0.248309045
0.973710922,0.289149476
1.076846323,0.331008695
1.129327318,0.373983461
1.141464599,0.417301375
1.153601302,0.459753088
1.165738583,0.500660921
1.166284332,0.537420186
1.166284332,0.571205899
1.166284332,0.60148069
1.155665938,0.627969831
1.125348939,0.650420293
1.095030495,0.667834394
1.064713497,0.679872625
1.016932716,0.686414378
0.963196733,0.687262829
0.909458187,0.682376466
0.848098865,0.671832371
0.704730075,0.655458022
0.561354449,0.634065367
0.41798566,0.608120389
0.260753019,0.577759726
0.08487551,0.543483357
-0.091010386,0.506580561
-0.266887895,0.467814604
-0.512810701,0.428182003
-0.773847603,0.388319111
-1.034896953,0.348963753
-1.345782452,0.310812732
-1.831364614,0.274431538
-2.316923622,0.24061072
-2.802505784,0.209876176
-3.423101207,0.183106043
-4.12614353,0.160434563
-4.829152331,0.141778471
-5.534312084,0.12721089
-6.382434077,0.11660451
-7.230596512,0.109891103
-8.078718505,0.106814623
-8.957546338,0.107666916
-9.891999928,0.112547303
-10.82649808,0.119818228
-11.76099623,0.128959683
-12.74057026,0.138795849
-13.73497382,0.149205394
-14.72932997,0.159861058
-15.725323,0.170396202
-16.73038675,0.181010439
-17.73549843,0.190485507
-18.74056218,0.198470509
-19.75477682,0.204673485
-20.78101854,0.20888122
-21.8073092,0.210970257
-22.83355092,0.210878082
-23.72190853,0.208795675
-24.5777069,0.204658716
-25.43354609,0.198560273
-26.21972591,0.19070179
-26.74115368,0.181351569
-27.26255659,0.170738627
-27.78398436,0.159164243
-28.26885967,0.147252796
-28.72972959,0.135229779
-29.19057753,0.1232248
-29.65144745,0.111559332
-29.9916003,0.100539018
-30.3316253,0.09044248
-30.6716503,0.0815177
-31.01612942,0.074196962
-31.36735801,0.068759568
-31.71856986,0.064989539
-32.06979846,0.062955068
-32.47375425,0.061411308
-32.89178314,0.061243403
-33.3097921,0.062694372
-33.72349076,0.065864183
-34.11768403,0.071415184
-34.51189609,0.078007885
-34.90608936,0.085363724
-35.19165857,0.09263673
-35.3978382,0.099633596
-35.60402766,0.106390502
-35.81020729,0.112544948
-35.83905422,0.119192889
-35.86308818,0.124567477
-35.88712328,0.128301254
-35.89696697,0.130093534
-35.87876558,0.129684025
-35.86056506,0.126870073
-35.84236366,0.121497851
-35.81973134,0.112527428
-35.7954868,0.100532443
-35.77124226,0.085894645
-35.74314279,0.068675608
-35.68858727,0.048793729
-35.63403434,0.02677182
-35.57947881,0.002893755
-35.55337166,-0.022627097
-35.55337166,-0.049414117
-35.55337166,-0.076967337
-35.55337166,-0.104880423
-35.43443765,-0.131942737
-35.2769006,-0.158301769
-35.11937106,-0.183847969
-34.97455888,-0.208291203
-34.90322219,-0.231553469
-34.83188211,-0.253154539
-34.76054542,-0.272929983
-34.64361419,-0.290375756
-34.47548746,-0.305418523
-34.30735272,-0.318566038
-34.13922599,-0.329936005
-33.97971091,-0.339508267
-33.82195616,-0.347678448
-33.6641939,-0.35476689
-33.48696702,-0.361129538
-33.24409232,-0.367200279
-33.00121763,-0.373158566
-32.75835451,-0.379320242
-32.51940752,-0.385195803
-32.2827882,-0.391345258
-32.04615759,-0.398409934
-31.8140966,-0.406523363
-31.74878742,-0.416330593
-31.68348135,-0.427170369
-31.61817217,-0.438922297
-31.59590317,-0.451749416
-31.65527607,-0.465708031
-31.71464613,-0.479791408
-31.77401903,-0.493632664
-31.79397797,-0.507659984
-31.79397797,-0.521071984
-31.79397797,-0.53307238
-31.79397797,-0.543316051
-31.79397797,-0.551512956
-31.79397797,-0.557444616
-31.79397797,-0.560977009
-31.79397797,-0.562069087
-31.79397797,-0.560776384
-31.79397797,-0.557249482
-31.79397797,-0.551727457
-31.77122316,-0.538505584
-31.74695353,-0.523582673
-31.72268506,-0.50778236
-31.68420903,-0.493618417
-31.61756181,-0.483573334
-31.55091142,-0.473975549
-31.48426421,-0.465216917
-31.25004882,-0.456818054
-30.95318636,-0.449554672
-30.65630975,-0.443915015
-30.33758217,-0.439990421
-29.85881136,-0.437761908
-29.38006338,-0.43716654
-28.90129258,-0.438030449
-28.37559661,-0.440548734
-27.80541431,-0.444381626
-27.2352592,-0.448739936
-26.6650769,-0.453221326
-26.06743402,-0.458017761
-25.4670509,-0.462155812
-24.8666964,-0.46516936
-24.25870225,-0.46610875
-23.63347852,-0.463915381
-23.00822497,-0.459620454
-22.38300123,-0.453016125
-21.80920775,-0.445429537
-21.25690901,-0.435944477
-20.7046366,-0.423959116
-20.16058856,-0.409763753
-19.68761286,-0.395101469
-19.2146146,-0.378367548
-18.74163889,-0.359812979
-18.2051158,-0.338551042
-17.60499949,-0.314896389
-17.00485457,-0.290359878
-16.40473826,-0.265279851
-15.80962513,-0.241343842
