hip_angle_l,hip_flexion_l_moment,hip_angle_l_normalized,hip_flexion_l_moment_normalized
-34.34221239,-0.788404381,0.19004119665299538,0.005528482846676522
-34.24514876,-0.794248066,0.19201266327184016,0.0017318333008834973
-34.14808976,-0.79691365,0.1939840358504101,0.0
-34.05102613,-0.796627083,0.1959555024692549,0.00018618294285019485
-33.8714491,-0.792618773,0.19960290490162094,0.002790387026557189
-33.65900657,-0.785923638,0.2039178409525179,0.007140224715750449
-33.44657418,-0.777403177,0.20823257104911969,0.012675979019002144
-33.19189595,-0.766608454,0.2134053595486994,0.01968932422411012
-32.60964106,-0.747896902,0.22523158198952647,0.03184624325754238
-32.0273584,-0.728704589,0.23705836846889208,0.04431551332158035
-31.44510351,-0.709429441,0.24888459090971907,0.0568386013900326
-30.79462565,-0.69255907,0.26209649517589556,0.06779930279582533
-30.07881439,-0.678279871,0.27663539099591805,0.07707651647138085
-29.362969,-0.664732263,0.2911749800329128,0.085878414547643
-28.64715774,-0.652034613,0.30571387585293536,0.09412809383479467
-28.37722203,-0.645719403,0.3111965601652691,0.09823109377029558
-28.15269857,-0.640807689,0.3157568728852604,0.10142224057700494
-27.9281644,-0.636625434,0.32031740313685936,0.10413945694752119
-27.73702586,-0.634067778,0.3241996322600101,0.10580116929010895
-27.62166811,-0.634267894,0.3265426721128369,0.10567115367145291
-27.50631586,-0.634522267,0.3288856002547541,0.10550588721117794
-27.39095811,-0.63453788,0.33122864010758096,0.10549574342530338
-26.97603807,-0.630386956,0.33965611194589707,0.10819260400543752
-26.43621335,-0.623880851,0.35062053204338595,0.11241962866421566
-25.89641437,-0.616244376,0.36158442933381757,0.11738105614365882
-25.34795482,-0.607204947,0.37272423210661326,0.12325398461380707
-24.7236273,-0.596431244,0.38540499486920665,0.1302536730982923
-24.09932954,-0.583872671,0.3980851531742233,0.13841299388239667
-23.47500201,-0.569404694,0.41076591613992736,0.147812856863648
-22.88945884,-0.553972613,0.42265892708076636,0.15783909943478103
-22.34323638,-0.537577807,0.4337532921519395,0.16849082565774903
-21.79703996,-0.519230519,0.444847128322733,0.18041108190902444
-21.25081749,-0.499023263,0.45594149359701686,0.19353976172563386
-20.71582355,-0.478299356,0.4668077953620986,0.20700411035130534
-20.18212112,-0.456177302,0.4776478651713704,0.22137683685369364
-19.64844414,-0.432730043,0.4884874180637967,0.23661055072301437
-19.07924491,-0.40839499,0.5000484660218953,0.25242106547856663
-18.42351454,-0.383713612,0.5133670544099221,0.2684565880252553
-17.76775291,-0.358476604,0.5266862777221374,0.2848531040866746
-17.11202254,-0.332956098,0.5400048661101641,0.301433809157757
-16.4729984,-0.305638668,0.5529841330162749,0.31918197802752546
-15.84148842,-0.277768158,0.5658107792589235,0.33728948367379497
-15.20994834,-0.250385451,0.578638036864914,0.3550800630931397
-14.57453657,-0.223852846,0.5915439326548826,0.3723183301663916
-13.87452081,-0.200499314,0.6057620048978561,0.3874911494851028
-13.17453843,-0.178245552,0.6199793991571633,0.40194944684190526
-12.47452267,-0.157250098,0.6341974714001368,0.4155902198974034
-11.84666158,-0.137262454,0.6469500047662028,0.4285762175194643
-11.3124568,-0.118279475,0.657800277843743,0.4409094830185712
-10.77827749,-0.100890981,0.6686500335982158,0.4522068095936903
-10.2440727,-0.085165651,0.6795003068788668,0.46242357641153653
-9.720166178,-0.071385448,0.6901414112710892,0.4713765917538908
-9.198328418,-0.059391998,0.7007404968842352,0.47916875140914117
-8.676465774,-0.049149037,0.7113400879181587,0.4858236161440175
-8.174355645,-0.040451897,0.7215384841486246,0.49147415901734115
-7.737377672,-0.032822087,0.7304139763071185,0.4964312562378428
-7.300420535,-0.026856732,0.7392890452640644,0.5003069549367364
-6.863442562,-0.022486013,0.7481645374225582,0.503146616606751
-6.480330711,-0.021420358,0.7559459507648197,0.5038389740099516
-6.128688136,-0.022794467,0.7630881892982139,0.50294621365228
-5.777062329,-0.025411306,0.7702300872555112,0.5012460500396343
-5.426012539,-0.029057291,0.7773602856886159,0.49887724896732827
-5.097322679,-0.031890455,0.7840363299179813,0.49703653872819714
-4.768617145,-0.035376952,0.7907126925031283,0.49477135721148996
-4.439927285,-0.039265732,0.7973887367324937,0.49224481192017305
-4.098328402,-0.042897712,0.804326977089558,0.4898851099141051
-3.734659702,-0.045700841,0.8117134791436093,0.4880639134525146
-3.370973661,-0.048013861,0.8191003334120032,0.4865611414289695
-3.007304962,-0.049504903,0.8264868354457434,0.485592409553097
-2.666831357,-0.050517094,0.8334022201975319,0.484934787778411
-2.333600224,-0.050238223,0.8401705025610631,0.4851159706203138
-2.000353202,-0.048120274,0.8469391076472569,0.4864920047680927
-1.674368187,-0.043679933,0.8535602135683533,0.48937689993968664
-1.387822331,-0.035898907,0.8593802677933219,0.49443224238691025
