time,hip_angle_l,hip_angle_l_velocity,hip_angle_l_velocity_filt,hip_angle_l_torque_estimated,hip_angle_l_torque_desired,hip_angle_l_torque_measured,hip_angle_l_torque_interaction,knee_angle_l,knee_angle_l_velocity,knee_angle_l_velocity_filt,knee_angle_l_torque_estimated,knee_angle_l_torque_desired,knee_angle_l_torque_measured,knee_angle_l_torque_interaction,thigh_imu_l_accel_x,thigh_imu_l_accel_y,thigh_imu_l_accel_z,thigh_imu_l_gyro_x,thigh_imu_l_gyro_y,thigh_imu_l_gyro_z,shank_imu_l_accel_x,shank_imu_l_accel_y,shank_imu_l_accel_z,shank_imu_l_gyro_x,shank_imu_l_gyro_y,shank_imu_l_gyro_z,foot_imu_l_accel_x,foot_imu_l_accel_y,foot_imu_l_accel_z,foot_imu_l_gyro_x,foot_imu_l_gyro_y,foot_imu_l_gyro_z,insole_l_force_y,insole_l_cop_x,insole_l_cop_z,hip_angle_r,hip_angle_r_velocity,hip_angle_r_velocity_filt,hip_angle_r_torque_estimated,hip_angle_r_torque_desired,hip_angle_r_torque_measured,hip_angle_r_torque_interaction,knee_angle_r,knee_angle_r_velocity,knee_angle_r_velocity_filt,knee_angle_r_torque_estimated,knee_angle_r_torque_desired,knee_angle_r_torque_measured,knee_angle_r_torque_interaction,thigh_imu_r_accel_x,thigh_imu_r_accel_y,thigh_imu_r_accel_z,thigh_imu_r_gyro_x,thigh_imu_r_gyro_y,thigh_imu_r_gyro_z,shank_imu_r_accel_x,shank_imu_r_accel_y,shank_imu_r_accel_z,shank_imu_r_gyro_x,shank_imu_r_gyro_y,shank_imu_r_gyro_z,foot_imu_r_accel_x,foot_imu_r_accel_y,foot_imu_r_accel_z,foot_imu_r_gyro_x,foot_imu_r_gyro_y,foot_imu_r_gyro_z,insole_r_force_y,insole_r_cop_x,insole_r_cop_z
41.685,-35.0417831656206,-43.1642592638614,-48.2249202385765,0.278228799543482,3.59577605655087,3.36766375815275,3.35217652759559,-38.6170420439649,-76.0911501285604,-79.4965181129003,0.071643849344136,-0.457497954443921,-0.665640757291473,-0.662236640212937,2.1088162403742,7.11763248074843,-0.773400393500734,24.4853312318316,6.90377586641501,89.207040062852,-0.102920765632528,8.04511407612025,-3.5605802181193,-12.9970483424212,41.8804730695228,-78.2321705742469,-2.19062862707268,9.13258431267735,-0.523791277951625,-3.63382605776184,0.205680810071801,-7.6956808995099,386.778336612506,0.0224569884328137,-0.117702383157518,-34.6878116508294,-54.0892804766241,-56.1741254227492,0.177275629073194,1.91431084340762,1.6698314638553,1.59564267294857,-32.9583904472506,-86.1360279183507,-90.3019414092083,0.0434904895706747,-0.166141289643936,-0.625449447487723,-0.691799508389538,2.4334003935007,6.53763248074845,0.879017420876389,-26.5296799311897,-10.2035961674297,99.4498843160637,-0.120352065878788,7.8296479341212,1.89294773737085,1.82010170663367,-30.2271122673875,-80.2024784979732,-2.21987556787398,9.44724268913704,-0.0455656035777763,2.16241781862899,1.8241431279181,1.46656096562057,274.201545337277,-0.106474691967597,0.120770946914124
41.69,-35.8825289755495,-41.0702189038789,-48.3439883239634,0.276106024591102,3.57825753660509,3.43099588074708,3.42439047577104,-39.9916925919636,-74.680993750353,-80.4118932848854,0.0893778689565468,-0.426480908201262,-0.642971134563969,-0.646883933682838,2.11154883957839,7.08792848093827,-0.761210443141312,26.1821896645994,9.22603297330007,90.7564963276736,-0.445683649614058,7.86069050635392,-3.29672900858074,-12.3275901183616,38.232091735359,-78.3574369707996,-2.18425798416138,9.06993961334229,-0.555644571781158,-4.26999998092651,0.0350000001490116,-7.52500009536743,387,0.0171044375747442,-0.122714899480343,-35.6472564521233,-53.0078147385383,-55.7616697601903,0.177901958080318,1.94195115166778,1.6700261707212,1.60211971851264,-34.4864609865929,-85.0598442086306,-90.2254158975528,0.0514354602923847,-0.116256567214957,-0.537174320138274,-0.610808432311941,2.45431086499404,6.51310042185277,0.903105907244643,-26.9125375064879,-9.84483161443212,99.9504067042388,-0.339647890083187,7.69620632909739,1.73275928271972,1.8486491375987,-27.5183824317829,-79.142428635487,-2.20515218039143,9.43575759582139,-0.0745342001616694,2.22008803750918,1.86526403623359,1.6468101646857,265.172489453681,-0.102745741697034,0.12575644347633
41.695,-36.2297414926119,-40.0876465878546,-47.2543890799072,0.271535212049628,3.51665422254441,3.46711335209343,3.47201171150709,-40.6262520659744,-73.1088797164113,-79.5751511095993,0.110762764295584,-0.372128484607422,-0.626116314602342,-0.634739123826072,2.27862225240638,7.23582953491714,-0.555792312615107,27.0816336599899,10.4230373882182,90.5130378026056,-0.793525017305095,7.81139015502762,-3.01462144265808,-12.1010384353121,33.7078208111769,-75.4122650911563,-2.18425798416138,9.06993961334229,-0.555644571781158,-4.26999998092651,0.0350000001490116,-7.52500009536743,387,0.0171044375747442,-0.122714899480343,-36.0842652197354,-50.6496426428151,-54.9329660290386,0.179222872762997,1.95751046853162,1.69169665352901,1.63307135201234,-35.2407492300077,-85.2563605524946,-89.4809641360942,0.0662252438090727,-0.0600387256657232,-0.472162863552272,-0.549845473087297,2.42418287251687,6.6883905599018,0.760682670079812,-25.6648125655139,-9.61151719457518,99.8185333364936,-0.761439784763669,7.72907322998158,1.6944145650215,2.42010039782797,-23.0718829808864,-77.5430413805258,-2.21433580472408,9.47052419230945,-0.101429130019633,2.11464006645109,1.54892012305931,1.65639636761849,260.790236002455,-0.0987822198796724,0.129407873008869
41.7,-36.5769705664678,-39.1050274179696,-46.164737878422,0.266964181549424,3.45504797093597,3.50323254569772,3.52225855781715,-41.2608417988891,-71.5366907163719,-78.7383690343478,0.132148679371178,-0.317773469223796,-0.60926069092034,-0.619716559769706,2.44570363211304,7.38373764154272,-0.35036438674626,27.9811205452757,11.62009888217,90.2695676682425,-1.14138297177634,7.7620874528191,-2.73250042446485,-11.8744759491687,29.1833341475964,-72.4669527712919,-2.18425798416138,9.06993961334229,-0.555644571781158,-4.26999998092651,0.0350000001490116,-7.52500009536743,387,0.0171044375747442,-0.122714899480343,-36.5212948260661,-48.2913580978955,-54.1042227812338,0.180543850433359,1.97307052733991,1.71336816969158,1.66707381724979,-35.9950734415806,-85.4528862672204,-88.7364768755291,0.081015732575082,-0.00381820337443813,-0.407148306901581,-0.485375107239741,2.39405344338946,6.86368905664321,0.618252641477417,-24.4170281269031,-9.37819164914388,99.6866536803803,-1.18325179254771,7.7619416981206,1.65606801885932,2.99157890765241,-18.6251714991163,-75.9435778589461,-2.22351986697691,9.50529244663913,-0.128325342359588,2.00918706711723,1.23256112505774,1.6659830276684,256.40777358392,-0.0948185090621769,0.133059476659453
41.705,-36.9241830835302,-38.1224551019453,-45.0751386343658,0.26239336900795,3.3934446568753,3.53935001704406,3.57503385063078,-41.8954012728998,-69.9645766824301,-77.9016268590618,0.153533574710216,-0.263421045629955,-0.592405870958713,-0.60165607031094,2.61277704494103,7.53163869552159,-0.144946256220054,28.8805645406662,12.8171032970882,90.0261091431744,-1.48922433946737,7.71278710149281,-2.45039285854219,-11.6479242661192,24.6590632234143,-69.5217808916487,-2.18425798416138,9.06993961334229,-0.555644571781158,-4.26999998092651,0.0350000001490116,-7.52500009536743,387,0.0171044375747442,-0.122714899480343,-36.9583035936781,-45.9331860021723,-53.2755190500821,0.181864765116038,1.98862984420375,1.73503865249939,1.70408739572785,-36.7493616849954,-85.6494026110844,-87.9920251140705,0.09580551609177,0.052399638174796,-0.342136850315579,-0.417234825851792,2.36392545091229,7.03897919469224,0.475829404312586,-23.1693031859292,-9.14487722928694,99.5547803126351,-1.60504368722819,7.79480859900479,1.6177233011611,3.56303016788167,-14.1786720482198,-74.3441906039849,-2.23270349130956,9.54005904312719,-0.155220272217552,1.90373909605914,0.916217211883467,1.6755692306012,252.025520132694,-0.0908549872448158,0.136710906191991
41.71,-37.2823701095782,-37.8810847102969,-43.8475727669645,0.25641363243267,3.32248605301544,3.56256179806499,3.61723622829564,-42.5452127165066,-69.3443220558415,-76.7135711598131,0.174498066573601,-0.194871301325596,-0.555936491973761,-0.560903916806312,2.60103018510727,7.68007283340347,-0.0485171697518007,29.0894323233976,12.5630516796772,89.5218201566452,-1.79235170382834,7.88573359276398,-2.16133716344131,-11.4827982738383,23.9445535143894,-67.0236573035313,-2.19278134213785,9.10225731326243,-0.524392181128611,-4.25962014373456,0.21145680319949,-7.25512496473837,395.007283340345,0.0176165176181927,-0.129423668739226,-37.3904050796334,-44.7368241843928,-52.1539950102175,0.180591332780915,1.99916015105415,1.77634104713954,1.76360774128506,-37.52581471302,-85.1018826957505,-87.2266708053451,0.114624345617623,0.104896168614268,-0.297748464588107,-0.36599447678406,2.28327263883047,7.27421434581406,0.35365245056796,-21.723031644567,-9.00225459911599,99.1038977248529,-1.98980227177115,7.92417792911233,1.57924037652505,3.32556112591344,-10.7065301084986,-72.7756517253827,-2.23694825172424,9.55612850189209,-0.167651370167732,1.85500001907349,0.769999980926514,1.6800000667572,250,-0.0890230089426041,0.138398632407188
41.715,-37.649974232053,-38.2767321755016,-42.5014851461522,0.249223275413581,3.24349018074766,3.574681146231,3.65037439376034,-43.2081054653477,-69.5421452625589,-75.2236362835624,0.195100393777359,-0.114122824205504,-0.502611351826338,-0.500313683086687,2.4356010727808,7.82895903449727,-0.0457600178796955,28.7047926177826,11.0619356604185,88.7933874398167,-2.05703828355069,8.2496776398822,-1.86632191312578,-11.3704698642339,26.5042796968894,-64.9098408682487,-2.20862954352827,9.16234834994345,-0.46628196419757,-4.24032003330016,0.539557882512784,-6.75332327668512,409.895903449727,0.0185686714147352,-0.141897851636408,-37.818271414352,-44.5390009776755,-50.7808596380154,0.17708830418875,2.00536796604111,1.83451391833642,1.84262943282019,-38.3212849072709,-83.9149413519062,-86.4433836747545,0.136905069547693,0.1541923574437,-0.271085894514396,-0.328839315973048,2.15920080458562,7.56095814051327,0.248880679427853,-20.1061833245039,-8.93758066631348,98.3788688992246,-2.34271771140093,8.13647862326461,1.54064025031553,2.39289493707702,-8.0719183195957,-71.2336890117224,-2.23694825172424,9.55612850189209,-0.167651370167732,1.85500001907349,0.769999980926514,1.6800000667572,250,-0.0890230089426041,0.138398632407188
41.72,-38.0175608261985,-38.6723607751969,-41.1554617103303,0.242033261249586,3.16449807521039,3.58679991651469,3.68513007837102,-43.8709666057229,-69.7399590365467,-73.733772451317,0.215701738608087,-0.0333781973847208,-0.449288754361546,-0.436975190368692,2.27017984854857,7.97783813630627,-0.0430029974758276,28.3201712527982,9.56089121831129,88.064989456572,-2.32171224232226,8.61360433319309,-1.57132072991165,-11.2581468107429,29.0638838249272,-62.7961252252814,-2.22447698923485,9.22243652132614,-0.408174518114179,-4.22102084314567,0.867643317105531,-6.25154551585331,424.783813630627,0.0195207798100858,-0.15437143973181,-38.2461173472808,-44.3411872036877,-49.4077897405115,0.173585442630182,2.01157548502315,1.89268401569813,1.92392620201031,-39.1167171714152,-82.7280566045402,-85.66013389335,0.159184731074371,0.203486195701474,-0.244424595782,-0.288268353586563,2.03513488641143,7.8476882625158,0.144113904080762,-18.489412100012,-8.87290981733381,97.6538746448735,-2.69561632309633,8.34876919436263,1.50204196466133,1.46027322021222,-5.4374321558973,-69.6917998228912,-2.23694825172424,9.55612850189209,-0.167651370167732,1.85500001907349,0.769999980926514,1.6800000667572,250,-0.0890230089426041,0.138398632407188
41.725,-38.3851649486733,-39.0680082404017,-39.809374089518,0.234842904230498,3.08550220294261,3.59891926468071,3.72099571249319,-44.533859354564,-69.937782243264,-72.2438375750663,0.236304065811845,0.0473702797353717,-0.395963614214122,-0.371248499003862,2.1047507362221,8.12672433740007,-0.0402458456037224,27.9355315471831,8.05977519905265,87.3365567397435,-2.58639882204461,8.97754838031131,-1.27630547959613,-11.1458184011385,31.6236100074271,-60.6823087899988,-2.24032519062527,9.28252755800716,-0.350064301183138,-4.20172073271127,1.19574439641882,-5.74974382780006,439.672433740008,0.0204729336066282,-0.166845622628991,-38.6739836819993,-44.1433639969703,-48.0346543683093,0.170082414038018,2.0177833000101,1.950856886895,2.00704444926801,-39.9121873656661,-81.5411152606959,-84.8768467627593,0.18146545500444,0.252782384530906,-0.217762025708288,-0.244645560401588,1.91106305216657,8.134432057215,0.0393421329406555,-16.8725637799488,-8.8082358845313,96.9288458192451,-3.04853176272611,8.56106988851492,1.46344183845181,0.527607031375799,-2.80282036699439,-68.149837109231,-2.23694825172424,9.55612850189209,-0.167651370167732,1.85500001907349,0.769999980926514,1.6800000667572,250,-0.0890230089426041,0.138398632407188
41.73,-38.8529694491038,-44.4369661291571,-40.2226889852659,0.230611217025511,3.04054924583185,3.60421616167206,3.75055331409653,-45.2428861768687,-72.3641790539003,-71.8596919295157,0.255663520759286,0.158818242715153,-0.332181195567013,-0.293167716945375,1.57203279182462,8.14719398900243,-0.0423979963341635,27.0545346276969,7.95553081894006,88.683758335046,-2.63158196700731,9.16826775805358,-1.27877595600974,-10.9818570254623,38.5662415874583,-61.1451348068049,-2.24173831939697,9.28788566589355,-0.344882816076279,-4.19999980926514,1.22500002384186,-5.70499992370605,441,0.0205578338354826,-0.167957901954651,-39.1052315615427,-45.6742127397662,-47.3128947397421,0.165123353835428,2.03796497827319,2.00663904313789,2.08903381199499,-40.6435188398285,-79.714738698944,-83.9613738020129,0.185503542159998,0.294000905133975,-0.160573272137779,-0.167950377370256,1.79688615763175,8.08806010997567,0.142705827704803,-15.5797252127799,-6.18243610405127,96.7783433411232,-3.15673588269263,8.56081602932683,1.47438797800485,-1.755199106506,-4.18136790383842,-66.7452562580072,-2.25188072868692,9.54751349259342,-0.156739199790116,1.47731559215767,0.786785967843521,2.1080423758116,250,-0.0708250089468765,0.143815258614812
