time_s,original_motorVel,filtered_motorVel,difference
18.455,205.685,45.54091656072316,160.14408343927684
18.46,210.559,56.853718934052786,153.70528106594722
18.465,210.559,68.02388409384096,142.53511590615904
18.47,209.335,78.98384404514192,130.3511559548581
18.475,194.691,89.63305655645237,105.05794344354763
18.48,176.3745,99.82008180879556,76.55441819120445
18.485,164.1785,109.38575505048817,54.79274494951184
18.49,150.1465,118.20995145181921,31.936548548180795
18.495,101.318,126.12640459790337,-24.808404597903376
18.5,-5.49705,132.72789244653273,-138.22494244653274
18.505,12.18525,137.61429065640067,-125.42904065640067
18.51,-11.61695,140.76077201160135,-152.37772201160135
18.515,6.0872,142.3328466948121,-136.2456466948121
18.52,-1.84694,142.52153428544676,-144.36847428544675
18.525,1.825085,141.50935060331543,-139.68426560331542
18.53,0.601055,139.450796178644,-138.849741178644
18.535,-3.682895,136.48720819573873,-140.17010319573873
18.54,-1.2349,132.74090590124473,-133.97580590124474
18.545,-29.91125,128.28234870678983,-158.19359870678983
18.55,-56.1615,123.06867263985077,-179.23017263985076
18.555,-73.2535,117.03304022261996,-190.28654022261998
18.56,-91.5695,110.16440462131929,-201.7339046213193
18.565,-99.504,102.49559049584626,-201.99959049584626
18.57,-98.28,94.12169284201507,-192.40169284201505
18.575,-84.8595,85.21689287110192,-170.07639287110192
18.58,-65.3195,76.02059300373261,-141.34009300373262
18.585,-47.0034,66.7930409538665,-113.7964409538665
18.59,-28.68725,57.7699087183455,-86.4571587183455
18.595,-12.2071,49.14939250151024,-61.356492501510246
18.6,-4.88501,41.07491212902746,-45.95992212902746
18.605,-9.781,33.60009808760914,-43.38109808760914
18.61,-12.81915,26.700868305985324,-39.520018305985325
18.615,-12.81915,20.33998689927982,-33.159136899279815
18.62,-17.71505,14.486705461880415,-32.20175546188042
18.625,-17.71505,9.106022985007286,-26.821072985007287
18.63,-15.87905,4.177379151010034,-20.056429151010033
18.635,-15.87905,-0.3069765463136243,-15.572073453686375
18.64,-11.00495,-4.351203976917329,-6.65374602308267
18.645,-2.458925,-7.938505235363468,5.479580235363469
18.65,4.863155,-11.035107447250967,15.898262447250968
18.655,5.4752,-13.626949822111719,19.10214982211172
18.66,10.9831,-15.726208599808551,26.70930859980855
18.665,16.46925,-17.341273636195332,33.81052363619533
18.67,21.9553,-18.47342200322861,40.428722003228614
18.675,29.88935,-19.122742815170618,49.01209281517062
18.68,31.7254,-19.295833336446623,51.02123333644663
18.685,35.39735,-19.01889256045977,54.41624256045977
18.69,37.8235,-18.326235351215725,56.149735351215725
18.695,42.71945,-17.247579923867985,59.96702992386798
18.7,46.36955,-15.807055349175474,62.176605349175475
18.705,48.81755,-14.031337927297342,62.84888792729734
18.71,45.75755,-11.965618646969274,57.72316864696928
18.715,47.5935,-9.667097016977554,57.260597016977556
18.72,42.10745,-7.1940932942503375,49.30154329425034
18.725,38.43545,-4.615609522593547,43.05105952259355
18.73,26.85125,-2.0170623981296134,28.868312398129614
18.735,21.9553,0.5113890507986469,21.443910949201353
18.74,13.40925,2.8951942508618336,10.514055749138166
18.745,-1.84694,5.055075140810929,-6.902015140810929
18.75,-4.88501,6.913414513636426,-11.798424513636427
18.755,-5.49705,8.446718029439014,-13.943768029439013
18.76,-9.781,9.665004136059558,-19.446004136059557
18.765,-12.81915,10.572022962558064,-23.391172962558066
18.77,-17.71505,11.167326238547522,-28.882376238547522
18.775,-21.3652,11.450569301638234,-32.815769301638234
18.78,-23.20115,11.429140671504829,-34.630290671504824
18.785,-27.48515,11.117090111632173,-38.60224011163217
18.79,-29.91125,10.526586198991371,-40.43783619899137
18.795,-31.13525,9.675735101496828,-40.810985101496826
18.8,-33.5832,8.588871354949545,-42.172071354949544
18.805,-35.4192,7.287938292273446,-42.70713829227344
18.81,-32.9712,5.802835625596238,-38.77403562559624
18.815,-37.2333,4.166403415602046,-41.39970341560205
18.82,-45.1674,2.3819948462801555,-47.54939484628016
18.825,-49.4514,0.4321299515634867,-49.88352995156349
18.83,-56.7735,-1.6958852745142923,-55.07761472548571
18.835,-72.0295,-4.033232871275807,-67.99626712872418
18.84,-88.51,-6.647344341641394,-81.8626556583586
18.845,-110.476,-9.62794868623154,-100.84805131376845
18.85,-130.016,-13.070854080301737,-116.94514591969825
18.855,-152.5945,-17.06370568171775,-135.53079431828226
