time,hip_flexion_l_moment,hip_adduction_l_moment,hip_rotation_l_moment,knee_angle_l_moment,ankle_angle_l_moment,subtalar_angle_l_moment,hip_flexion_r_moment,hip_adduction_r_moment,hip_rotation_r_moment,knee_angle_r_moment,ankle_angle_r_moment,subtalar_angle_r_moment
9.295,-0.00150227918460206,-0.0473459948937687,-0.00493052783647709,-0.271094498970514,-0.199528501101511,0.0745486645326799,-0.0585631043444122,-0.0623130621238858,-0.00466934355245875,-0.25140305621371,-0.223097609226916,0.0582740200196933
9.3,-0.0015805904937833,-0.0473481819397011,-0.00494688049115257,-0.271369022327529,-0.199882160985547,0.074664624324472,-0.0589857045758034,-0.0621401014325195,-0.00468060157743268,-0.251351733276939,-0.222765626840168,0.0581247027951495
9.305,-0.00164060729149627,-0.0473459923327402,-0.00496115188094814,-0.271614494367433,-0.200205051243179,0.0747719467520358,-0.0595479526991241,-0.0618964216712769,-0.00471706191803224,-0.251281552039387,-0.222416772855779,0.0579789414816231
9.31,-0.00168172474916891,-0.0473421842448349,-0.00497337250099726,-0.27182882136467,-0.200494327005681,0.0748701015922192,-0.0602228710074032,-0.061593345403002,-0.00477558359953521,-0.251190811317641,-0.222053720295414,0.0578377426333432
9.315,-0.00170380632368837,-0.0473394071881393,-0.00498354813851361,-0.272010370602203,-0.200747407334919,0.0749586250018965,-0.0609825483516838,-0.061243343225601,-0.00485277703268101,-0.251078031318935,-0.221679331066855,0.057701967636099
9.32,-0.00170718343094112,-0.0473400885596321,-0.00499165121529079,-0.272158039471016,-0.20096206443677,0.0750371389592836,-0.0617990886725512,-0.0608595345956905,-0.00494511290349056,-0.250942034534151,-0.221296605857175,0.0575723243582935
9.325,-0.00169264353670527,-0.0473463365733537,-0.00499761583255087,-0.272271310681652,-0.201136502433821,0.0751053687265934,-0.0626455186446471,-0.0604551845843418,-0.00504902960950647,-0.250782021296793,-0.220908632341594,0.0574493621990484
9.33,-0.00166140841117171,-0.0473598635545126,-0.00500133692515374,-0.272350292580273,-0.201269423769034,0.0751631575830213,-0.0634966233352787,-0.0600432150513754,-0.00516103607436404,-0.250597634894,-0.220518531230129,0.0573334702580789
9.335,-0.00161510458428316,-0.0473819323365308,-0.00500267367764299,-0.272395744136678,-0.20136008192957,0.0752104781729061,-0.0643296826119191,-0.0596357477536701,-0.00527780702260106,-0.250389012025514,-0.220129400054986,0.0572248783782724
9.34,-0.00155572815198125,-0.0474133272437863,-0.0050014571000707,-0.272409084643171,-0.201408319719919,0.0752474399451241,-0.0651250858914758,-0.0592436952956375,-0.00539626813173987,-0.250156815665161,-0.21974425520715,0.0571236608742488
