time,hip_flexion_l_moment,hip_adduction_l_moment,hip_rotation_l_moment,knee_angle_l_moment,ankle_angle_l_moment,subtalar_angle_l_moment,hip_flexion_r_moment,hip_adduction_r_moment,hip_rotation_r_moment,knee_angle_r_moment,ankle_angle_r_moment,subtalar_angle_r_moment
85.45,0.311626328193131,0.0710939108537285,0.0487332186452707,-0.126704781670372,-0.0154505409285832,-0.00960176429186461,-0.564049339234661,0.178134779132643,-0.0246483371330331,-0.396885245699848,-0.100150781605876,0.0471728969592923
85.455,0.333388821852371,0.0468155057194936,0.0485533698830604,-0.09586064176793,0.00712348462597102,-0.00995090384523024,-0.591240469889491,0.146868967386978,-0.02239432257057,-0.389971811121377,-0.139109982496483,0.0592396723520966
85.46,0.35386800757854,0.022091077494411,0.047606067926339,-0.0667921408532548,0.025800653326551,-0.0102593489605599,-0.620443063521443,0.111428328658475,-0.0197153749765384,-0.380215959745625,-0.18225427654579,0.0722942569995757
85.465,0.372660509920614,-0.00232614411714519,0.0458925718041637,-0.039857607769626,0.0408007013202327,-0.0105206243714884,-0.65116652885344,0.0720001921903775,-0.0165890468917778,-0.367248897201796,-0.229266369609167,0.0862141442844271
85.47,0.389412440537301,-0.0257555326769208,0.0434356501484863,-0.0153239661569731,0.0523795843068111,-0.0107268237977,-0.682821047429308,0.0288170610664067,-0.0129826813861077,-0.350708723230317,-0.279726558082891,0.100850050090896
85.475,0.403830155906743,-0.0476079361673664,0.0402798843831389,0.00663346919203896,0.0608225708135947,-0.0108693687200964,-0.714739595857585,-0.0178465374323982,-0.00885461095316879,-0.330255148129691,-0.333118487241095,0.116028402599284
85.48,0.415688370695653,-0.0674004932523543,0.0364913902105706,0.0259283966782608,0.0664371089490771,-0.010939774837203,-0.746203816973676,-0.0676779856070985,-0.00415587231086679,-0.305584422706845,-0.388838004029998,0.131554635723064
85.485,0.424835436411466,-0.0847669580996249,0.0321569106483808,0.0425583538260357,0.0695456493309982,-0.0109303888363464,-0.776472507104863,-0.120331188476937,0.00116762125173529,-0.276443807477711,-0.44620495599344,0.147217214746741
85.49,0.431195721260035,-0.0994632946482967,0.0273822551629671,0.0565972689302451,0.0704786008329075,-0.0108350607126889,-0.804811325196867,-0.175431705839719,0.00717251934835419,-0.242644912562743,-0.504477690502559,0.162792301642526
85.495,0.434769145021362,-0.111368505227662,0.0222900848160346,0.0681861086638587,0.0695675833717721,-0.0106497211114602,-0.830522257622998,-0.232582193452709,0.0139151630173004,-0.204075292404496,-0.562869917875663,0.178048949185111
85.5,0.435628028814917,-0.120480858673001,0.0170170715525291,0.0775220394477119,0.0671391241503543,-0.0103728387584563,-0.852971394066123,-0.291367912727054,0.0214484855503577,-0.160707774734468,-0.620569520422425,0.192754696850353
85.505,0.433911511309206,-0.12690986944053,0.0117104892361231,0.0848465489328539,0.0635089217695835,-0.0100057396191253,-0.871613679955906,-0.351362067507663,0.0298187747133943,-0.112607131697319,-0.676758818461997,0.206681426991105
85.51,0.429817858352823,-0.130864542578149,0.00652432296399218,0.0904329838308399,0.0589767777338896,-0.00955277658855278,-0.886013497444347,-0.412130762445274,0.0390623924205531,-0.0599338499551489,-0.730635744926201,0.219611326530223
85.515,0.423595050810064,-0.132638532233993,0.00161500965959737,0.0945739525679221,0.0538222683863013,-0.00902134585736633,-0.895860173007525,-0.47323744920365,0.049202556577227,-0.00294491197004417,-0.781435332791133,0.231342787423431
85.52,0.415530074720663,-0.132592958210078,-0.00286305488133387,0.0975690174217072,0.0483012034613419,-0.00842175323572575,-0.90097779635648,-0.534246824408689,0.0602462994491556,0.0580083507362759,-0.82845088459215,0.241696069025168
85.525,0.40593735850314,-0.131137682761068,-0.00676209102392638,0.0997130629961631,0.0426428913431588,-0.00776694030567079,-0.901329042919202,-0.594728249442681,0.0721817256232126,0.122485140691732,-0.871054171168362,0.250518538422164
85.53,0.395146804223908,-0.128711867687155,-0.00994543174189692,0.101285678585192,0.0370482067199622,-0.00707208602815607,-0.897013002144925,-0.654258855800985,0.0849756976269105,0.189962516944384,-0.908713998752169,0.257689302408038
85.535,0.383491845173742,-0.125764611377588,-0.0122917784378605,0.10254183395908,0.0316884344142682,-0.00635410414402642,-0.88825730944547,-0.712426561071546,0.0985720756505751,0.259844784213342,-0.941012491902111,0.263123048882045
85.54,0.371297932079877,-0.122736410471171,-0.0136990607122361,0.103704064352858,0.0267048443361213,-0.00563106024389234,-0.875405146077564,-0.768833236325071,0.112890627319912,0.331474530798222,-0.967658468186307,0.26677292779595
85.545,0.358871807790447,-0.120042106501673,-0.0140877588937306,0.104956313937552,0.0222089371592989,-0.00492153468226256,-0.858897896482872,-0.823098231998555,0.127826703174835,0.404144880384743,-0.988497333502994,0.268632323686365
85.55,0.346491878172005,-0.118055870749962,-0.0134035691145477,0.10643952068518,0.0182832886803563,-0.00424395858812532,-0.839254426972302,-0.874862392492525,0.143251744111591,0.477112530035075,-1.0035170090472,0.26873540400096
85.555,0.334399928443755,-0.117098657655738,-0.0116193171101793,0.108248961904907,0.0149829129354783,-0.00361595014883908,-0.817048066434966,-0.923792584005327,0.159014650679584,0.549611172527485,-1.01284951545892,0.267156369659405
85.56,0.322794372409361,-0.117428425842879,-0.00873605713882347,0.110433321065481,0.0123370599098676,-0.00305367723481487,-0.792882425311015,-0.969586644145276,0.174944003876013,0.620864940166436,-1.01676798708011,0.264007385343676
85.565,0.311825159997683,-0.119233293095954,-0.00478332467729271,0.112995384605182,0.0103513628277326,-0.00257127043959136,-0.767367183074565,-1.01197855406144,0.190851086335421,0.690101554007395,-1.01567906593689,0.259435224540374
85.57,0.301590408755524,-0.12262766384599,0.000181455936070912,0.115894233537285,0.00901025218769248,-0.0021803079021712,-0.741094910165274,-1.05074354905207,0.206533614693195,0.756564912788913,-1.01011082286995,0.25361672497953
85.575,0.292134769510069,-0.127651250288921,0.00607437666242558,0.119048759544789,0.00827955844356138,-0.00188939002953576,-0.714619874489275,-1.08570283105508,0.221780060936493,0.819526906431477,-1.00069655970375,0.246753209654134
85.58,0.283449486838972,-0.134270805436997,0.0127872033042548,0.122342309193327,0.00810923199053586,-0.00170381861464428,-0.688439625312751,-1.11672752940075,0.236374414554598,0.878298287405363,-0.988155046042771,0.239064082492295
85.585,0.275474072199408,-0.14238430121776,0.0201902009052833,0.125628242711517,0.00843611732736481,-0.00162539100199222,-0.662979961064339,-1.14374157314472,0.250101219404719,0.932238478004218,-0.973267920863571,0.230779851554452
85.59,0.268099472005089,-0.151827218961756,0.0281355232822548,0.128736184966198,0.00918672733810483,-0.00165231602183611,-0.638583685959152,-1.16672318441566,0.262750709982214,0.980764231529265,-0.956855127676477,0.22213486262102
85.595,0.261172584583981,-0.162380573848974,0.0364610491106764,0.131478744986281,0.0102799729971988,-0.0017792545053576,-0.615503357004212,-1.18570477110998,0.27412387127704,1.02335709987619,-0.939749341505253,0.213360039739184
85.6,0.254501958414661,-0.173780268648297,0.0449945385898437,0.133658485656778,0.0116298129104138,-0.00199748339287209,-0.593898029885377,-1.20077108208687,0.284037254167763,1.05956968855273,-0.922770380353252,0.20467592581461
85.605,0.247864488668581,-0.185727364033268,0.0535579815585013,0.135074935894196,0.0131477954817749,-0.00229517882071325,-0.573833839037781,-1.21205558205045,0.292327393414732,1.08903070249019,-0.906700573028493,0.196286296437904
85.61,0.241012919045939,-0.197898860855654,0.0619720095507568,0.135531452570814,0.0147454737402052,-0.00265781016661203,-0.555288100525418,-1.21973510023034,0.2988546963754,1.11144880213695,-0.892261984255278,0.188372586065972
85.615,0.233683950270106,-0.209958611496338,0.0700602500112271,0.134841757556677,0.0163366786580662,-0.00306863388167413,-0.538156510056947,-1.22402290095196,0.303506695851763,1.12661529949472,-0.880096285840087,0.181089320707251
85.62,0.225606754490028,-0.221568010014735,0.0776535099500835,0.132835995461932,0.0178396409386376,-0.00350927306435692,-0.522262924068725,-1.22516040999522,0.306200588126022,1.13440572853022,-0.870747920288535,0.174560699145143
85.625,0.216511695400972,-0.232396151432663,0.0845936878874664,0.129366179087802,0.0191789536410721,-0.00396036615951944,-0.507371159103202,-1.22340790384357,0.306885005466801,1.13478032461047,-0.86465104199436,0.168878409196576
85.63,0.20613905643832,-0.242129196359067,0.090737326205332,0.124310911490947,0.0202873686606416,-0.00440226591593432,-0.493198222256083,-1.21903452608685,0.305540999699483,1.12778344440586,-0.862120551181216,0.164100709831733
85.635,0.194247583412708,-0.250478725761549,0.0959587302569952,0.117579295364939,0.0211074191086388,-0.0048157678353327,-0.479428390862162,-1.2123080340521,0.302182238734407,1.11354195247547,-0.863347365578318,0.160252756824694
85.64,0.180622653126717,-0.257188919825795,0.100152595154966,0.10911396174872,0.0215928572611015,-0.00518284582865172,-0.465727589567708,-1.20348469804283,0.296854440557738,1.09226259510053,-0.868397910756245,0.157328100933648
85.645,0.165083885741362,-0.262042442720604,0.103236095575724,0.0988931706505034,0.0217098942802924,-0.00548737170203532,-0.451757563332014,-1.19279977529995,0.289634088792809,1.06422837759307,-0.877217656837553,0.155291244804898
85.65,0.147492026041623,-0.264864960340811,0.105150407839655,0.0869319559308977,0.0214382237453413,-0.00571579447502497,-0.437189410670197,-1.18045896182088,0.280626490472627,1.02979396000798,-0.889638390447313,0.154081108794242
85.655,0.127754927554376,-0.265528259797616,0.105861646738493,0.0732823057348523,0.0207718066046619,-0.00585775544045655,-0.421716116841289,-1.16663118908771,0.26996325021033,0.989380089499249,-0.905388789158769,0.153615227338875
85.66,0.105832484106281,-0.263951977028296,0.105361212006322,0.058032387987498,0.0197193909663935,-0.00590661536631781,-0.405063805603716,-1.15144308166748,0.257799245643348,0.943467096717622,-0.924107763936196,0.153794476834251
85.665,0.0817403663696991,-0.260103972210896,0.103665550973985,0.0413048481020259,0.0183047366730435,-0.00585987136868137,-0.387001504697573,-1.13497532793241,0.244309196964406,0.892587499354894,-0.94535995568082,0.154508123475718
85.67,0.0555524367645737,-0.253999421772858,0.100815354884146,0.0232542232187018,0.0165665123528056,-0.00571944279920723,-0.367349289264164,-1.11726114225219,0.22968392858488,0.837317778230893,-0.968652717241656,0.155638975385031
85.675,0.0274017352756445,-0.245698720944735,0.0968742166761291,0.00406353410181213,0.0145578320596634,-0.00549180802540317,-0.345984725236137,-1.09828691534529,0.214126423496988,0.778269419439761,-0.993453883995491,0.15706842756732
85.68,-0.00252004825747846,-0.2353043124053,0.0919267878703325,-0.0160598676963771,0.0123454001070881,-0.0051879772534398,-0.322847579336451,-1.07799506244637,0.197847770692202,0.716079348475044,-1.01920963537963,0.158681200632641
85.685,-0.0339646727121583,-0.222956574989073,0.0860764815483067,-0.0368891036850401,0.0100082365855533,-0.00482329054493113,-0.297942793600673,-1.05628898910065,0.181063103086587,0.651399916677041,-1.04536177655033,0.160369594290759
85.69,-0.0666310411118062,-0.208828922025841,0.0794427773323244,-0.0581831139856636,0.00763596255093703,-0.0044170348756745,-0.271341741892047,-1.03304000466072,0.163987617946224,0.584888634006826,-1.07136382234861,0.162037103581888
