motorPos,motorVel,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,moment,label
176.326,-7.32208,-9.64323,0.72594,1.15758,-4.9,0.77,-1.33,-0.850394,0
176.326,-7.32208,-9.67266,0.64746,1.1772,-5.11,0.07,2.24,-0.850394,0
176.326,-2.42609,-9.74133,0.70632,1.23606,-6.44,0.49,5.46,-0.850394,0
176.326,1.24583,-9.68247,0.90252,1.0791,-7.14,7,7.77,-0.850394,0
176.326,-6.09811,-9.53532,1.05948,1.20663,-6.65,3.22,7.77,-0.850394,0
176.326,-9.72631,-9.43722,1.44207,1.19682,-5.32,7.49,7.14,-0.850394,0
176.493,-13.3983,-9.36855,1.55979,1.19682,-4.55,4.76,6.09,-0.850394,0
176.66,-12.1744,-9.34893,1.51074,1.31454,-2.87,12.04,5.46,-0.850394,0
176.827,-14.6223,-9.43722,1.28511,1.33416,-2.17,3.64,4.83,-0.850394,0
176.827,-4.87414,-9.59418,0.92214,1.21644,-1.96,8.82,7,-0.850394,0
176.827,9.77002,-9.66285,1.12815,1.11834,-3.64,0.35,10.92,-0.850394,0
176.827,3.69388,-9.47646,1.5696,1.20663,-4.27,6.02,14.7,-0.850394,0
176.827,7.36579,-9.32931,1.75599,1.32435,-2.94,9.87,16.17,-0.850394,0
176.66,6.14182,-9.33912,1.78542,1.35378,-0.77,12.74,16.1,-0.850394,0
176.66,1.24583,-9.42741,1.55979,1.36359,3.15,6.02,16.03,-0.850394,0
176.66,10.9941,-9.60399,1.18701,1.39302,4.55,7.56,17.22,-0.850394,0
176.493,9.77002,-9.62361,1.14777,1.45188,5.81,7.77,18.97,-0.850394,0
176.326,15.89,-9.62361,1.11834,1.51074,7,3.36,20.65,-0.850394,0
176.159,24.4142,-9.67266,1.24587,1.46169,8.75,11.41,23.24,-0.850394,0
175.992,17.114,-9.64323,1.40283,1.40283,10.22,6.86,24.15,-0.850394,0
175.825,14.666,-9.66285,1.22625,1.40283,12.67,16.03,24.36,-0.850394,0
175.658,12.2181,-9.64323,1.31454,1.32435,14.21,12.11,23.94,-0.850394,0
175.491,3.69388,-9.57456,1.21644,1.28511,15.68,15.82,22.26,-0.850394,0
175.491,-4.87414,-9.54513,0.87309,1.21644,15.89,9.73,18.13,-0.850394,0
175.491,-2.42609,-9.62361,0.67689,1.05948,14.21,16.1,18.97,-0.850394,0
175.491,2.4698,-9.62361,0.74556,1.04967,12.74,13.37,19.95,-0.850394,0
175.491,4.91785,-9.63342,0.70632,1.02024,9.87,5.95,20.93,-0.850394,0
175.324,9.77002,-9.60399,0.85347,0.981,7.35,13.16,23.8,-0.850394,0
175.324,9.77002,-9.49608,1.18701,0.97119,4.97,14.98,26.81,-0.850394,0
175.157,22.0099,-9.44703,1.43226,0.96138,3.99,12.32,29.47,-0.850394,0
174.823,22.0099,-9.4176,1.79523,0.89271,3.43,11.34,32.76,-0.850394,0
174.823,10.9941,-9.37836,2.79585,0.82404,3.92,17.5,35.7,-0.850394,0
174.489,25.6383,-9.65304,2.04048,1.25568,7.49,19.04,40.25,-0.850394,0
174.155,43.9543,-10.3201,1.85409,0.75537,5.46,25.55,50.33,-0.850394,0
173.654,62.2705,-10.3692,3.15882,0.97119,6.02,24.01,56.63,-0.850394,0
172.986,70.8384,-10.2809,3.49236,0.85347,7.7,19.32,62.93,-0.850394,0
172.151,79.3626,-10.2809,3.6297,0.65727,9.87,28.84,69.86,-0.850394,0
171.316,92.7828,-10.5948,3.54141,0.59841,11.06,26.25,76.58,-0.850394,0
170.314,108.651,-11.3011,3.50217,0.50031,10.85,29.05,84.21,-0.850394,0
169.146,113.547,-12.2036,3.71799,0.20601,9.03,40.74,91.49,-0.850394,0
167.977,124.519,-13.0767,3.65913,0.06867,7.77,44.52,97.58,-0.850394,0
166.641,128.191,-13.7536,4.26735,-0.51012,4.13,46.62,110.46,-0.850394,0
165.305,135.535,-13.7144,4.68918,-0.77499,-7.28,43.54,113.05,-0.850394,0
163.969,123.295,-11.8407,5.30721,-0.92214,-11.69,36.05,113.61,-0.850394,0
162.633,124.519,-10.585,5.16987,-0.56898,-12.81,46.13,112.07,-0.850394,0
161.464,111.099,-9.6138,5.62113,-0.31392,-11.55,49.7,109.76,-0.850394,0
160.462,95.2307,-8.78976,5.77809,-0.26487,-7.7,45.64,104.16,-0.850394,0
159.627,78.1386,-7.95591,6.17049,-0.34335,-1.75,40.6,98.56,-0.850394,0
158.96,67.1664,-7.26921,6.97491,-0.61803,5.11,35.77,91.98,-0.850394,0
158.292,50.0743,-6.85719,7.43598,-0.90252,14.49,26.95,83.37,-0.850394,0
157.791,61.0465,-7.01415,7.80876,-1.32435,23.94,28.84,73.85,-0.850394,0
157.123,74.4666,-7.43598,7.24959,-1.78542,40.81,25.83,61.81,-0.850394,0
156.288,89.1545,-8.25021,7.05339,-2.76642,44.94,12.32,60.48,-0.850394,0
155.119,124.519,-9.45684,4.53222,-2.66832,45.5,26.18,64.61,-0.850394,0
153.783,150.179,-9.36855,3.35502,-2.11896,43.61,17.92,72.24,-0.850394,0
152.113,175.796,-8.81919,3.05091,-1.48131,43.75,11.62,82.67,-0.850394,0
150.276,189.216,-8.28945,3.68856,-1.33416,44.31,-5.46,92.61,-0.850394,0
148.272,201.456,-7.78914,4.40469,-1.4715,45.85,20.86,100.52,-0.850394,0
146.268,203.86,-7.39674,4.73823,-1.67751,46.55,20.23,104.72,-0.850394,0
144.264,214.876,-7.26921,5.17968,-2.00124,44.17,5.39,106.89,-0.850394,0
142.094,214.876,-7.17111,5.2974,-2.14839,40.04,4.27,107.94,-0.850394,0
139.923,207.532,-6.99453,5.45436,-2.11896,34.51,13.44,108.01,-0.850394,0
137.919,206.308,-6.59232,5.89581,-1.83447,34.23,21.7,106.75,-0.850394,0
135.915,200.232,-6.38631,6.15087,-1.80504,34.51,16.66,104.09,-0.850394,0
133.911,203.86,-6.22935,6.1803,-1.88352,34.93,16.1,101.5,-0.850394,0
131.908,192.888,-6.13125,6.24897,-2.04048,33.53,6.44,98.35,-0.850394,0
129.904,191.664,-5.97429,6.0822,-2.07972,30.94,9.94,96.04,-0.850394,0
128.067,199.008,-5.91543,6.06258,-2.06991,26.46,-0.28,93.24,-0.850394,0
126.063,185.587,-5.81733,5.96448,-1.89333,22.68,1.05,91.56,-0.850394,0
124.226,186.768,-5.72904,5.886,-1.71675,18.97,13.86,90.44,-0.850394,0
122.389,183.139,-5.76828,5.886,-1.62846,11.69,24.92,87.43,-0.850394,0
120.552,170.9,-5.6898,6.05277,-1.74618,8.61,23.45,85.68,-0.850394,0
118.882,168.495,-5.75847,6.0822,-1.7658,5.74,27.02,83.16,-0.850394,0
117.379,156.255,-5.7879,6.24897,-1.82466,3.5,16.45,79.38,-0.850394,0
115.71,152.627,-5.77809,6.35688,-1.87371,1.47,8.12,75.6,-0.850394,0
114.374,139.163,-5.67018,6.55308,-1.97181,-0.14,20.09,72.38,-0.850394,0
113.038,129.415,-5.48379,6.63156,-1.99143,-0.7,19.39,68.74,-0.850394,0
111.702,119.667,-5.31702,6.99453,-2.20725,-0.35,8.75,64.54,-0.850394,0
110.7,105.023,-4.99329,6.83757,-2.21706,0.42,13.65,60.55,-0.850394,0
109.698,95.2307,-4.77747,6.95529,-2.26611,1.33,1.05,52.29,-0.850394,0
108.696,90.3348,-4.69899,6.94548,-2.27592,2.73,10.36,48.93,-0.850394,0
107.861,83.0346,-4.34583,6.68061,-2.13858,3.29,3.36,46.2,-0.850394,0
107.193,72.0624,-4.18887,6.52365,-2.09934,3.5,14.14,43.47,-0.850394,0
