timestamp,motor_angle_L_float,motor_angle_R_float,motor_vel_L_float,motor_vel_R_float
1761533350.6469438,0.40665513277053833,0.07780265808105469,-2.1443309783935547,2.305773973464966
1761533350.6570754,0.38623347878456116,0.10129226744174957,-1.982888102531433,2.3780112266540527
1761533350.6669955,0.3671543002128601,0.12506923079490662,-1.8282325267791748,2.392070770263672
1761533350.6769245,0.3497050106525421,0.14894208312034607,-1.6876364946365356,2.392070770263672
1761533350.686856,0.33369410037994385,0.17300693690776825,-1.5252238512039185,2.403221368789673
1761533350.6969962,0.31960010528564453,0.19697566330432892,-1.3206324577331543,2.3649213314056396
1761533350.7069347,0.30761590600013733,0.22017765045166016,-1.1097384691238403,2.2747457027435303
1761533350.7169821,0.2972612679004669,0.2427082508802414,-0.9691425561904907,2.217052936553955
1761533350.726936,0.288249135017395,0.2644718885421753,-0.841151773929596,2.131725788116455
1761533350.7368197,0.28048279881477356,0.28546878695487976,-0.7315838932991028,2.030399799346924
1761533350.7468307,0.2734840214252472,0.305027037858963,-0.6641947627067566,1.9053179025650024
1761533350.7567751,0.26715633273124695,0.3236268162727356,-0.5982601046562195,1.8035069704055786
1761533350.7668192,0.26130804419517517,0.3413639962673187,-0.5672320127487183,1.706059455871582
1761533350.7768743,0.255938857793808,0.35766279697418213,-0.5347495079040527,1.587764859199524
1761533350.7869027,0.2505699098110199,0.37290674448013306,-0.5391128659248352,1.4588044881820679
1761533350.796912,0.24491335451602936,0.3869045674800873,-0.5769283175468445,1.3511756658554077
1761533350.80691,0.2384898066520691,0.39984753727912903,-0.6743758916854858,1.2532434463500977
1761533350.8169005,0.23139487206935883,0.4119281768798828,-0.7504915595054626,1.1722794771194458
1761533350.8269122,0.22362910211086273,0.4232412874698639,-0.7907311320304871,1.114586591720581
1761533350.8368943,0.21547983586788177,0.43388354778289795,-0.8217592239379883,1.0127758979797363
1761533350.8468974,0.207042396068573,0.44347092509269714,-0.8527872562408447,0.9177523255348206
1761533350.856788,0.19831788539886475,0.45200368762016296,-0.8692709803581238,0.8096389174461365
1761533350.8668866,0.18949750065803528,0.4594824016094208,-0.8828457593917847,0.6855265498161316
1761533350.8768609,0.18096446990966797,0.46581006050109863,-0.8595747351646423,0.5982601046562195
1761533350.8867927,0.17243169248104095,0.47117897868156433,-0.8295162916183472,0.48966184258461
1761533350.8969243,0.16409067809581757,0.4753974378108978,-0.8076996803283691,0.38154834508895874
1761533350.9069018,0.15622848272323608,0.4787532687187195,-0.7698841691017151,0.2967059910297394
1761533350.9168937,0.1485585868358612,0.48095840215682983,-0.7485523819923401,0.16629110276699066
1761533350.9268265,0.14127217233181,0.4820129871368408,-0.7199483513832092,0.07223723828792572
1761533350.936831,0.1340813785791397,0.48220473527908325,-0.6961924433708191,-0.02278624288737774
1761533350.946783,0.12727433443069458,0.48220473527908325,-0.6777695417404175,-0.0009696274064481258
1761533350.956736,0.12037142366170883,0.48220473527908325,-0.6782543659210205,0.0
1761533350.9668398,0.11346851289272308,0.48220473527908325,-0.6700125336647034,0.0
1761533350.976788,0.10675708204507828,0.48220473527908325,-0.6743758916854858,0.0
1761533350.9866958,0.09995003789663315,0.48220473527908325,-0.6874658465385437,0.0
1761533350.9968493,0.09285537898540497,0.4820129871368408,-0.7068583369255066,0.0
1761533351.0068417,0.0856643095612526,0.4820129871368408,-0.731099009513855,-0.0024240685161203146
1761533351.0168366,0.07809027284383774,0.4820129871368408,-0.7669752240180969,0.0
1761533351.026854,0.07032450288534164,0.4820129871368408,-0.7766715288162231,0.0
1761533351.0368261,0.062366973608732224,0.4820129871368408,-0.7868525981903076,-0.0038785096257925034
1761533351.046846,0.054313309490680695,0.4820129871368408,-0.8062451481819153,-0.0038785096257925034
1761533351.0567317,0.04616403579711914,0.4820129871368408,-0.8086692094802856,-0.004363323096185923
1761533351.0668466,0.03801476210355759,0.4819171130657196,-0.8212743997573853,0.0
1761533351.0767798,0.02996082790195942,0.4819171130657196,-0.8140022158622742,0.0
1761533351.086779,0.02190743014216423,0.4819171130657196,-0.7960640788078308,0.0
1761533351.0967348,0.014045778661966324,0.4820129871368408,-0.7815196514129639,0.0038785096257925034
1761533351.1070466,0.006471481639891863,0.4820129871368408,-0.7485523819923401,0.0
1761533351.1169372,-0.0008149272762238979,0.4820129871368408,-0.7165547013282776,0.004363323096185923
1761533351.1270027,-0.007813980802893639,0.4820129871368408,-0.6908594965934753,0.0
1761533351.1369123,-0.014429274015128613,0.4820129871368408,-0.652559220790863,0.0
1761533351.1470351,-0.02075694315135479,0.4820129871368408,-0.6108652949333191,0.0
1761533351.1569755,-0.02660524658858776,0.4820129871368408,-0.5643231272697449,0.0
1761533351.167038,-0.03187857195734978,0.4820129871368408,-0.5037214159965515,0.0
1761533351.1769462,-0.036672260612249374,0.4820129871368408,-0.4620274305343628,0.0
1761533351.1871147,-0.04079483449459076,0.4820129871368408,-0.3626406788825989,0.0
1761533351.1969666,-0.04405480995774269,0.4820129871368408,-0.3030085563659668,0.0
1761533351.2068944,-0.046547528356313705,0.4819171130657196,-0.2079850733280182,-0.003393696155399084
1761533351.2170076,-0.04827325791120529,0.4819171130657196,-0.13962633907794952,0.0
1761533351.2270103,-0.04904025048017502,0.4819171130657196,-0.03151289001107216,-0.0024240685161203146
1761533351.2368715,-0.04884850233793259,0.4819171130657196,0.044602859765291214,0.0
1761533351.246956,-0.04808150976896286,0.4818212389945984,0.10181088000535965,-0.0290888212621212
