timestamp,hip_angle_l,hip_angle_r,hip_angle_l_velocity,hip_angle_r_velocity,motor_torque_L_float,motor_torque_R_float,torque_L,torque_R
1762220177.2719982,0.6047333478927612,0.285756379365921,0.9085408449172974,-1.057863473892212,0.0,0.0,0.5799999833106995,0.12999999523162842
1762220177.2819324,0.6106774806976318,0.2747303545475006,0.3640950918197632,-1.1359184980392456,0.0,0.0,0.5299999713897705,-0.009999999776482582
1762220177.2918675,0.61192387342453,0.26245853304862976,-0.04605729877948761,-1.281362533569336,0.0,0.0,0.36000001430511475,-0.05999999865889549
1762220177.3020053,0.6103898882865906,0.248748317360878,-0.20701543986797333,-1.4631677865982056,0.0,0.0,0.25,-0.10000000149011612
1762220177.311739,0.6077054142951965,0.2331206202507019,-0.2952515184879303,-1.6187928915023804,0.0,0.0,0.20999999344348907,-0.1599999964237213
1762220177.3219352,0.6041581034660339,0.21605506539344788,-0.39318394660949707,-1.7448444366455078,0.0,0.0,0.029999999329447746,-0.10999999940395355
1762220177.3319612,0.6000352501869202,0.19831788539886475,-0.41839420795440674,-1.8035069704055786,0.0,0.0,-0.009999999776482582,-0.07000000029802322
1762220177.3419716,0.5956250429153442,0.18019747734069824,-0.44602859020233154,-1.8190209865570068,0.0,0.0,0.029999999329447746,-0.05000000074505806
1762220177.3518822,0.5911189317703247,0.16217319667339325,-0.4591185748577118,-1.7807207107543945,0.0,0.0,0.029999999329447746,0.009999999776482582
1762220177.3619492,0.5864211320877075,0.14462776482105255,-0.4591185748577118,-1.7157557010650635,0.0,0.0,0.029999999329447746,0.05999999865889549
1762220177.3719392,0.5820109844207764,0.1279454529285431,-0.4300297498703003,-1.6221866607666016,0.0,0.0,0.0,-0.019999999552965164
1762220177.3820143,0.5778884291648865,0.11231803148984909,-0.388820618391037,-1.5179516077041626,0.0,0.0,0.009999999776482582,0.07999999821186066
1762220177.3918777,0.5741487741470337,0.097840815782547,-0.37282171845436096,-1.4229282140731812,0.0,0.0,0.0,0.20000000298023224
